00001	00001	336
00001	00002	72
00001	00003	108
00001	00004	56
00001	00005	40
00001	00006	16
00001	00007	12
00001	00008	60
00001	00009	20
00001	00010	32
00001	00011	52
00001	00012	8
00001	00013	16
00001	00015	12
00001	00016	12
00001	00017	12
00001	00018	20
00001	00019	24
00001	00020	12
00001	00021	8
00001	00022	20
00001	00023	12
00001	00025	4
00001	00026	12
00001	00027	4
00001	00028	28
00001	00029	4
00001	00030	4
00001	00032	4
00001	00033	12
00001	00034	8
00001	00036	12
00001	00037	16
00001	00038	4
00001	00039	4
00001	00042	4
00001	00043	12
00001	00045	12
00001	00047	68
00001	00048	36
00001	00050	36
00001	00051	4
00001	00052	4
00001	00053	4
00001	00054	48
00001	00056	40
00001	00057	12
00001	00058	20
00001	00059	12
00001	00060	32
00002	00001	116
00002	00002	400
00002	00003	80
00002	00004	40
00002	00005	32
00002	00006	36
00002	00007	16
00002	00008	44
00002	00009	24
00002	00010	48
00002	00011	80
00002	00012	16
00002	00013	44
00002	00015	20
00002	00016	28
00002	00017	12
00002	00018	36
00002	00019	20
00002	00020	8
00002	00021	16
00002	00022	28
00002	00023	8
00002	00024	4
00002	00026	8
00002	00028	12
00002	00029	4
00002	00031	8
00002	00032	8
00002	00033	16
00002	00034	12
00002	00036	8
00002	00037	8
00002	00038	4
00002	00039	8
00002	00040	4
00002	00042	4
00002	00043	8
00002	00045	12
00002	00046	4
00002	00047	56
00002	00048	60
00002	00049	4
00002	00050	60
00002	00051	16
00002	00053	8
00002	00054	24
00002	00055	16
00002	00056	52
00002	00057	32
00002	00058	28
00002	00060	72
00003	00001	44
00003	00002	56
00003	00003	216
00003	00004	40
00003	00005	16
00003	00006	28
00003	00007	4
00003	00008	24
00003	00009	4
00003	00010	24
00003	00011	32
00003	00012	12
00003	00013	28
00003	00014	4
00003	00015	4
00003	00016	12
00003	00017	4
00003	00018	8
00003	00019	4
00003	00020	4
00003	00021	16
00003	00022	8
00003	00023	8
00003	00024	4
00003	00025	4
00003	00026	8
00003	00030	4
00003	00031	4
00003	00033	4
00003	00034	24
00003	00035	4
00003	00037	8
00003	00040	8
00003	00041	4
00003	00043	4
